GERMAN_NOUN,ENGLISH_TRANSLATION,PLURAL,EXAMPLE
die Förderung,"support, sponsorship (F~)",die Förderungen,Familien erhalten staatliche Förderung.
die Fahrt,"drive, trip",die Fahrten,Die Fahrt von Hamburg nach Köln mit dem Zug dauert etwa 4 Stunden.
der Wissenschaftler,"scholar, scientist",die Wissenschaftler,Wissenschaftler aus verschiedenen Fachrichtungen nehmen an der Tagung teil.
der Vorwurf,"reproach, accusation",die Vorwürfe,Herr Faber macht seinen Mitarbeitern ständig Vorwürfe wegen der Verzögerung des Projekts.
der April,April,die Aprile,"Im April macht das Wetter, was es will."
das Bier,beer,die Biere,Sowohl Deutsche als auch Amerikaner trinken gerne Bier.
die Summe,sum,die Summen,Die Summe aus zwölf plus drei ist fünfzehn.
der Tourist,tourist,die Touristen,Touristen sind oft nicht sehr beliebt bei den Einheimischen.
die Bundesregierung,federal government,die Bundesregierungen,Die Bundesregierung fordert alle Parteien zu mehr Geschlossenheit im Kampf gegen rechte Organisationen auf.
die Verwendung,use (V~),die Verwendungen,Über die Verwendung der Steuergelder entscheidet die Regierung.
der Strom,"stream, current, electricity",die Ströme,Wir haben seit einer Stunde keinen Strom und kein Licht.
der Test,test,die Tests,Im letzten Test fielen drei Studenten durch
das Vertrauen,"trust, faith (V~)",no plural,Das Vertrauen in die Sicherheit wurde nachhaltig gestört.
der Umsatz,"turnover, sales",die Umsätze,Der Umsatz im Bereich Sportartikel steigt jedes Jahr.
der Termin,"appointment, date (T~)",die Termine,Bis zu dem vereinbarten Termin muss die Arbeit fertig sein.
die Realität,reality (R~),die Realitäten,"Die Realität sieht oft anders aus, als man denkt."
das Leid,"sorrow, grief (L~)",no plural,Im Fernsehen sieht man das Leid der Menschen in der dritten Welt.
die Landwirtschaft,agriculture,die Landwirtschaften,Die deutsche Landwirtschaft kann nicht mehr so vielen Menschen Arbeit geben wie noch vor 40 Jahren.
die Krise,crisis,die Krisen,Die Leiterin des Instituts meistert die Krise.
die Pause,"pause, break",die Pausen,In der Pause esse ich mein belegtes Brötchen.
das Phänomen,phenomenon (P~),die Phänomene,"Gewitter ist ein Phänomen, das auftritt, wenn sich zwei unterschiedlich warme Luftmassen treffen."
die Suche,search,die Suchen,Die Suche nach dem entflohenen Krokodil war erfolgreich.
das Parlament,parliament,die Parlamente,Im Parlament wird über Gesetze abgestimmt.
die Perspektive,"perspective, prospects",die Perspektiven,"Die Schule hat keine Perspektive, weil es zu wenig Schüler gibt."
das Merkmal,feature (M~),die Merkmale,Ein typischer Tisch hat folgende Merkmale: Er hat vier Beine und oben eine Tischplatte.
der März,March,die Märze,Im März beginnt der Frühling.
das Lied,song,die Lieder,Lieder können beim Sprachenlernen helfen.
das Konzert,concert,die Konzerte,Im Sommer gibt es im Park klassische Konzerte unter freiem Himmel.
die Botschaft,message,die Botschaften,Die Menschen erwarten eine positive Botschaft von ihrem Präsidenten.
das Brot,bread,die Brote,Brot ist ein Grundnahrungsmittel.
der Fortschritt,progress,die Fortschritte,"Meine Tochter hat große Fortschritte gemacht, sie kann schon bis hundert zählen."
die Formel,formula,die Formeln,Welche chemische Formel hat Wasser?
der Weltkrieg,world war,die Weltkriege,Der Zweite Weltkrieg endete 1945.
der Aufbau,"construction, structure (A~)",die Aufbauten,Die Arbeit hat einen logischen Aufbau.
der Arbeitgeber,employer (A~),die Arbeitgeber,Der Arbeitgeber verweigert seinen Angestellten seit Monaten den Urlaub.
der August,August,die Auguste,Im August habe ich Geburtstag.
die Flasche,bottle,die Flaschen,Zum Abendessen gab es eine gute Flasche Rotwein.
die Bestimmung,"regulation, purpose, fate (B~)",die Bestimmungen,Die Bestimmungen sind gesetzlich festgelegt.
die Pflicht,duty,die Pflichten,"Wer Pflichten hat, der hat auch Rechte."
der Teilnehmer,participant,die Teilnehmer,Die Teilnehmer am Marathon treffen am späten Nachmittag im Stadion ein.
der Wille,will,die Willen,"Sandra schafft das, sie hat einen starken Willen."
die Nachfrage,demand (N~),die Nachfragen,Die Nachfrage nach Rohöl steigt von Jahr zu Jahr.
die Mühe,"effort, trouble (M~)",die Mühen,Meine Mutter macht sich immer viel Mühe mit dem Mittagessen.
die Hauptstadt,capital city,die Hauptstädte,Dresden ist die Hauptstadt von Sachsen.
der Geburtstag,birthday,die Geburtstage,Anna feiert ihren vierten Geburtstag im Kindergarten.
die Gegenwart,present,no plural,"Wer Geschichte lernt, erfährt viel über die Gegenwart."
der Studiengang,course of study,die Studiengänge,Viele Studiengänge sind mit Studenten überfüllt.
die Debatte,debate,die Debatten,Die Debatte im Senat dauerte über vier Stunden.
der Gegner,"opponent, competitor, enemy (G~)",die Gegner,David ist ein Gegner von Atomkraftwerken.
die Weile,while (period of time),die Weilen,Frau Hellmann betrachtet das Gemälde eine Weile und geht dann weiter zum nächsten.
der Käufer,buyer,die Käufer,"Der Käufer hat das Recht, die Ware innerhalb von 14 Tagen umzutauschen."
das Kilogramm,kilogram,die Kilogramme,Ein Kilogramm sind tausend Gramm.
die Hinsicht,respect (H~),die Hinsichten,In beruflicher Hinsicht geht es ihr sehr gut.
der Betrag,amount (B~),die Beträge,Von meinem Konto wurde ein größerer Betrag abgebucht.
die Fremdsprache,foreign language,die Fremdsprachen,Frau Wotjak ist Professorin für Deutsch als Fremdsprache.
die Adresse,address,die Adressen,Die Adresse des Empfängers kommt auf die Vorderseite des Briefes.
die Verwaltung,administration,die Verwaltungen,Die Verwaltung der Universität befindet sich in einem extra Gebäude.
die Heimat,"home, hometown, homeland",die Heimaten,"Die Heimat ist da, wo man sich wohl fühlt."
die Konkurrenz,competition (K~),die Konkurrenzen,Die Konkurrenz schläft nicht.
das Kino,"cinema, movie theatre",die Kinos,Das alternative Kino zeigt auch ältere und unbekannte Filme.
der Hals,"neck, throat (H~)",die Hälse,Die Dame trägt eine edle Perlenkette um den Hals.
der Ablauf,"expiry, action",die Abläufe,Herr Lothar plant den Ablauf seiner Silberhochzeit.
der Schwerpunkt,"main emphasis, center of gravity",die Schwerpunkte,Der Schwerpunkt der Untersuchung liegt auf der Synthese verschiedener Theorien.
der Kauf,purchase,die Käufe,Das Öffnen der Packung verpflichtet nicht zum Kauf der Ware.
die Mathematik,mathematics,no plural,Mathematik ist eine Hilfswissenschaft für alle Naturwissenschaften.
der Streit,"argument, fight (S~)",die Streite,Der Streit um die Löhne geht weiter.
die Verhandlung,negotiation (not 'Vermittlung'),die Verhandlungen,Die Verhandlungen mit der Gewerkschaft verlaufen positiv.
die Schicht,"layer, class",die Schichten,Auf den Möbeln liegt eine dicke Schicht Staub.
die Gemeinschaft,community (not 'Gemeinde'),die Gemeinschaften,Die jüdische Gemeinschaft in Leipzig will ein neues Zentrum errichten.
das Gegenteil,opposite (not 'Gegensatz'),die Gegenteile,Das Gegenteil von lang ist kurz.
die Platte,"disk, recorder, plate",die Platten,"Florian kauft sich ständig neue Platten, er liebt Musik."
der Minister,minister,die Minister,In der Regierung sind sieben Minister und drei Ministerinnen.
der Nachteil,disadvantage,die Nachteile,Schuluniformen haben Vor- und Nachteile.
das Management,management,die Managements,Der Betrieb ist durch schlechtes Management in Konkurs gegangen.
der Millimeter,millimetre,die Millimeter,Das Haar wächst jede Woche etwa drei Millimeter.
der Sitz,1) seat; 2) headquarters,die Sitze,Der Sitz der Vereinten Nationen ist in New York.
der Erwachsene,"adult, grown-up",die Erwachsenen,Ab 18 gilt man als Erwachsener.
der Kanzler,chancellor,die Kanzler,Der Kanzler hält eine Rede zur Lage der Nation.
der Fahrer,driver,die Fahrer,"Der Fahrer des PKW war betrunken, als er den Unfall verursachte."
der Handel,trade (not 'Handwerk'),no plural,Der Handel mit China boomt.
das Drittel,"third, one-third",die Drittel,Ein Drittel ist dasselbe wie zwei Sechstel.
der Arbeitnehmer,employee (Ar~),die Arbeitnehmer,Die Arbeitnehmer haben einen Betriebsrat gewählt.
die Gewerkschaft,trade union,die Gewerkschaften,Gewerkschaften setzen sich für die Arbeitnehmer ein.
der Beamte,"official, civil cervant",die Beamte,Die meisten Beamten werden gut bezahlt.
der Verdacht,suspicion (V~),die Verdächte,"Der Mann steht unter Verdacht, eine Bank ausgeraubt zu haben."
der Start,"start, take-off, launch",die Starte,Start und Landung sind beim Fliegen besonders kritisch.
der Vogel,bird,die Vögel,Viele Vögel fliegen im Winter in den Süden.
der Widerstand,"resistance, opposition",die Widerstände,Die Ureinwohner leisteten lange Zeit Widerstand gegen die Kolonialisten.
der Tourismus,tourism,no plural,Der Tourismus ist in Österreich ein wichtiger Wirtschaftszweig.
die Tabelle,"table, chart",die Tabellen,Die Tabelle gibt eine Übersicht über Einnahmen und Ausgaben.
das Spanisch,Spanish (language),no plural,Spanisch ist die momentan beliebteste Fremdsprache der Deutschen.
das Steuer,"steering wheel, helm",no plural,Mit Alkohol sollte man sich nicht ans Steuer setzen.
der Polizist,policeman,die Polizisten,Polizisten leben relativ gefährlich.
der Schriftsteller,writer,die Schriftsteller,Schriftsteller denken meist nicht zuerst an den Erfolg beim Publikum.
die Investition,investment,die Investitionen,Kinder sind eine Investition in die Zukunft.
die Planung,"planning, plan",die Planungen,Alle sind mit der Planung der Exkursion beschäftigt.
der Bundestag,Lower House of Parliament,die Bundestage,Der Bundestag wird diesem Gesetz nicht zustimmen.
die Therapie,therapy,die Therapien,Die Therapie hilft vor allem jüngeren Patienten.
das Türkish,Turkish (language),no plural,Nach zwanzig Jahren in Deutschland hat er sein Türkisch schon fast verlernt.
die Überlegung,"thought, thinking (Ü~)",die Überlegungen,"Meine Überlegungen gehen dahin, dass ich bald umziehen muss."
die Steuer,tax,die Steuern,Die Autobahn wird aus Steuern finanziert.
die Stärke,strength,die Stärken,Die Stärke der Mannschaft besteht in ihrem Teamgeist.
die Einnahme,"income, receipts, revenue",die Einnahmen,Die Einnahmen des heutigen Abends decken nicht die Ausgaben.
das Bewusstsein,consciousness,no plural,Nach dem Sturz verlor sie das Bewusstsein.
die Verletzung,injury,die Verletzungen,Bei dem Sturz zog er sich eine schwere Verletzung zu.
der Abgeordnete,member of parliament/congress,die Abgeordneten,Die Abgeordnete verlässt den Plenarsaal.
die Beschreibung,description (B~),die Beschreibungen,Die Beschreibung trifft auf den gesuchten Mann zu.
die Erkrankung,"illness, disease (E~)",die Erkrankung,Ältere Menschen leiden oft an Erkrankungen des Herzens und der Nieren.
der Flughafen,airport,die Flughäfen,Auf dem Flughafen gab es einen Brand.
die Fläche,"area, surface",die Flächen,Das Werksgelände erstreckt sich auf einer Fläche von 3 Quadratkilometern.
die Armee,army,die Armeen,Die Armee marschiert in das besetzte Gebiet ein.
der Verkehr,traffic,no plural,Der Verkehr stand durch die Demonstranten eine Stunde lang still.
der Anschluss,"connection (TV, internet)",die Anschlüsse,Leider habe ich meinen Anschluss nach Zürich verpasst. Jetzt muss ich zwei Stunden warten.
das Boot,boat,die Boote,Ein Boot mit Flüchtlingen ging in der Nacht an Land.
das Gehirn,brain,die Gehirne,Das Gehirn des Menschen besteht aus zwei Hälften.
die Gesundheit,health,no plural,Rauchen gefährdet die Gesundheit.
die Atmosphäre,atmosphere,die Atmosphären,Die Atmosphäre schützt die Erde vor den Strahlen der Sonne.
die Auswahl,"choice, selection (Aus~)",die Auswahlen,Im Weingeschäft neben der Post gibt es eine große Auswahl an leckeren deutschen Weinen.
der Bahnhof,(railway) station,die Bahnhöfe,Am Bahnhof fahren Züge in alle Richtungen ab.
der Wechsel,change (We~),die Wechsel,Mit dem Wechsel der Körperfarbe kann sich ein Chamäleon tarnen.
der Park,park,die Parks,Durch Leipzig zieht sich ein riesiger Park.
die Stirn,forehead,die Stirne,Ihre Haare hängen tief in die Stirn.
der PC,"PC, computer",die PCs,"Meine Augen sind ganz schlecht geworden, weil ich so viel am PC arbeite."
die Strategie,strategy,die Strategien,Der Detektiv änderte seine Strategie und war erfolgreich.
der Alltag,"workday, daily routine",die Alltage,"Man muss immer wieder versuchen, dem Alltag zu entfliehen."
der Bundeskanzler,federal chancellor,die Bundeskanzler,Der Bundeskanzler hält jedes Jahr eine Neujahrsansprache.
der Auftritt,"appearance, entrance (on stage)",die Auftritte,Der Auftritt der Band verzögert sich um eine halbe Stunde.
die Demokratie,democracy,die Demokratien,Demokratie kann man nicht erzwingen.
die Saison,season (S~),die Saisons,Außerhalb der Saison sind die Hotels viel billiger.
die Post,"mail, post office",no plural,Hol doch bitte die Post herein.
die Physik,physics,no plural,Die Physik beschäftigt sich mit Vorgängen in der Natur.
der Standort,"site, location (S~)",die Standorte,Für den Regierungssitz gibt es keinen besseren Standort als den in Berlin.
der Verlag,publishing company,die Verläge,In diesem Verlag werden vor allem Sachbücher veröffentlicht.
der Zeitraum,period of time,die Zeiträume,In einem Zeitraum von einer Woche muss Paul aus seiner Wohnung ausziehen.
der Pfarrer,pastor,die Pfarrer,Der Pfarrer hält eine Predigt vor seiner Gemeinde.
das Schicksal,fate,die Schicksale,Viele Menschen glauben nicht an das Schicksal.
der Hersteller,"manufacturer, producer",die Hersteller,Der Hersteller gibt eine Garantie von zwei Jahren.
die Erwartung,expectation,die Erwartungen,Das Publikum stellt hohe Erwartungen an den neuen Film von Roman Polanski.
die Schrift,"script, handwriting",die Schriften,Die Erfindung der Schrift ist eine der größten menschlichen Errungenschaften.
das Niveau,"level, standard",die Niveaus,Nach zehn Jahren aktiven Spielens kann der Fußballer sein Niveau nicht mehr halten.
die Liste,list,die Listen,Die Kriminalpolizei erstellt eine Liste der möglichen Täter.
das Holz,wood,die Hölzer,Immer mehr Menschen heizen mit Holz.
das Knie,knee,die Knie,Viele Fußballer und Skifahrer haben Probleme mit den Knien.
die Kombination,combination,die Kombinationen,Eine Kombination von dummen Zufällen hat zu dieser Katastrophe geführt.
die Fotografie,photography,die Fotografien,Die Fotografie ist ihre große Leidenschaft.
das Fahrzeug,vehicle,die Fahrzeuge,"Fahrzeuge, die im Parkverbot stehen, werden abgeschleppt."
der Forscher,researcher,die Forscher,Japanische Forscher untersuchen die Zusammensetzung einer neuen Substanz.
das Radio,radio,die Radios,Das Radio bringt alle halbe Stunde Nachrichten.
der Beweis,"proof, evidence (B~)",die Beweise,Der Beweis seiner Unschuld muss noch erbracht werden.
das HGB (Handelsgesetzbuch),commerical code,no plural,Jeder Kaufmann kann das HGB auswendig.
das Detail,detail (D~),die Details,Details sind oft nicht so wichtig wie das große Ganze.
die Kasse,"cash register, checkout",die Kassen,Bitte bezahlen Sie die Ware an der Kasse!
der Organismus,organism,,Am Grunde des Ozeans leben noch viele unerforschte Organismen.
die Kategorie,category,die Kategorien,A und B gehören zwei verschiedenen Kategorien an.
die Integration,integration,die Integrationen,Die Integration von Ausländern ist in allen modernen Gesellschaften sehr wichtig.
die Abteilung,department,die Abteilungen,Die Abteilung für kulturelle Zusammenarbeit wird zum Ende des Jahres geschlossen.
die Dimension,dimension,die Dimensionen,Die Verwüstungen traten in einer unerwarteten Dimension auf.
das Gewicht,weight,die Gewichte,Das Gewicht eines Päckchens darf zwei Kilogramm betragen.
das Frühjahr,spring (not 'Frühling'),die Frühjahre,Im Frühjahr blühen viele Blumen.
die Beratung,"advice, discussion, consultation",die Beratungen,Die Mitglieder trafen sich zu einer Beratung.
die Beschäftigung,"employment, job, activity, occupation",die Beschäftigungen,Im Moment habe ich keine Beschäftigung.
die Verbesserung,improvement,die Verbesserungen,Das neue System stellt eine deutliche Verbesserung gegenüber dem alten dar.
der Unfall,accident,die Unfälle,Auf dieser Straße passieren zu viele Unfälle.
der Februar,February,die Februare,Im Februar blühen die ersten Blumen.
die Verpflichtung,"commitment, obligation (V~)",die Verpflichtungen,"Hiermit gehen Sie die Verpflichtung ein, sich jede Woche bei uns zu melden."
der Bundesrat,Upper House of Parliament,die Bundesräte,"Der Bundesrat muss über alle Gesetze, die aus dem Bundestag kommen, beraten."
die Betrachtung,"contemplation, examination (B~)",die Betrachtungen,Bei der Betrachtung des Mondes fallen einem immer wieder neue Krater und Täler auf.
der Bedarf,"need, demand (not 'Bedürfnis')",no plural,Der Bedarf an Fernsehgeräten ist gedeckt.
das Abitur,"school leaving exam, A levels",die Abiture,Für den Zugang zu einer deutschen Hochschule wird das Abitur verlangt.
die Bewertung,assessment,die Bewertungen,Die Bewertung erfolgt unter unterschiedlichen Aspekten.
das Wesen,"being, creature, nature (of sth)",die Wesen,Forscher gehen dem Wesen einer Sache auf den Grund.
der Mittelpunkt,"midpoint, centre of focus",die Mittelpunkte,Sie steht gern im Mittelpunkt.
die Arbeitslosigkeit,unemployment,no plural,Die Arbeitslosigkeit ist in Brandenburg besonders hoch.
die Kompetenz,"competence, authority",die Kompetenzen,Felix muss seine-Kompetenz unter Beweis stellen.
die Bezeichnung,"designation, name, term",die Bezeichnungen,Wie ist die lateinische Bezeichnung für diese Pflanze?
das Vermögen,"assets, fortune, ability",die Vermögen,Er hat ein Vermögen für den Hauskauf ausgegeben.
die Treppe,stairs,die Treppen,"Die Kinder sitzen auf der Treppe und warten, bis ihnen jemand aufschließt."
der Journalist,journalist,die Journalisten,Journalisten umlagern den Politiker und stellen ihm Fragen.
die Beteiligung,participation (B~),die Beteiligungen,Die Beteiligung an der Wahl war gering.
das Lebensmittel,"food, groceries (L~)",die Lebensmittel,In welchen Lebensmitteln ist besonders viel Kalzium?
der Strand,beach,die Strände,Am Strand der Ostsee findet man viele Muscheln und Steine.
der Spiegel,mirror,die Spiegel,Wir haben einen neuen Spiegel gekauft.
die Beobachtung,obervation,die Beobachtungen,Das war eine wichtige Beobachtung.
der Star,"star, celebrity, starling",die Stars,Die Fans bewunderten ihren Star.
das Teilchen,particle,die Teilchen,Ein Atom besteht aus verschiedenen Teilchen.
der Nutzen,"benefit, profit, use",die Nutzen,"Der Kopierer bringt keinen großen Nutzen, er ist ständig kaputt."
der Ministerpräsident,"prime minister, minister president",die Ministerpräsidenten,Georg Milbradt ist der Ministerpräsident von Sachsen.
die Lippe,lip,die Lippen,Rote Lippen soll man küssen.
die Taste,"key, button",die Tasten,Ich habe aus Versehen die falsche Taste gedrückt.
das Signal,signal,die SIgnale,Wir warten auf das vereinbarte Signal.
der Ruf,1) call; 2) reputation,die Rufe,Die Stadt hat einen guten Ruf.
der Standard,standard,die Standards,Die Firma hat einen hohen technischen Standard.
die CD,CD,die CDs,Ich habe mir neulich die neue CD von Nena gekauft.
die Substanz,substance,die Substanzen,Dieses Heilmittel wurde aus verschiedenen Substanzen hergestellt.
der Geschäftsführer,shop manager,die Geschäftsführer,Der Geschäftsführer des Unternehmens war noch sehr jung.
der Gebrauch,use (G~),die Gebräuche,Vor Gebrauch schütteln!
der Russe,Russian,die Russen,Puschkin war Russe.
die Brücke,bridge,die Brücken,Dresden hat viele schöne Brücken.
die Oberfläche,surface,die Oberflächen,Schleifpapier hat eine raue Oberfläche.
die Initiative,initiative,die Initiativen,Sie gründeten eine Initiative zur Verschönerung ihrer Stadt.
der Glaube,"faith, belief (G~)",die Glauben,Der christliche Glauben ist 2000 Jahre alt.
das Experiment,experiment,die Experimente,Sie nahm an einem psycholinguistischen Experiment teil.
die Vorbereitung,preparation,die Vorbereitungen,Alle waren mit den Vorbereitungen auf das Fest beschäftigt.
der Anwalt,"attorney, lawyer",die Anwälte,Lars ist ein guter Anwalt.
der Vordergrund,foreground,die Vordergründe,Im Vordergrund des Gemäldes sehen Sie eine Hochzeitsgesellschaft.
der Grundsatz,principle (G~),die Grundsätze,Hier gilt der Grundsatz der Gleichbehandlung.
das Rennen,race,die Rennen,Nach dem Rennen findet die Siegerehrung statt.
die Versicherung,"insurance, assurance",die Versicherungen,Hast du eine gute Versicherung für dein Haus?
die Komponente,component (K~),die Komponenten,Beim Lernen von Fremdsprachen spielen viele Komponenten eine Rolle.
das Reich,"empire, kingdom",die Reiche,Frankreich ist aus dem westfränkischen Reich entstanden.
das Viertel,"quarter, district (V~)",die Viertel,In diesem Viertel sind die Mieten ziemlich teuer.
der Verkauf,sale,die Verkäufe,An Personen unter 16 ist der Verkauf von Alkohol nicht gestattet.
der Schuh,shoe,die Schuhe,Mein linker Schuh ist kaputt.
das Seminar,seminar,die Seminare,Das Seminar endet um 14 Uhr.
die Truppe,"troupe, troops, unit",die Truppen,Eine Truppe amerikanischer Soldaten war in Gefahr geraten.
die Spannung,"suspense, tension",die Spannungen,Die Spannung steigt.
die Technologie,technology,die Technologien,Das Max-Planck-Institut arbeitet mit modernster Technologie.
das Umfeld,milieu,die Umfelder,Das soziale Umfeld war ihr nicht gut genug.
der Schlag,blow,die Schläge,Der Schlag kam völlig unerwartet.
die Sendung,broadcast (S~),die Sendungen,Gestern hat Luise eine interessante Sendung gesehen.
das Vorjahr,previous year,die Vorjahre,Wir haben bessere Ergebnisse erzielt als im Vorjahr.
der Verbraucher,consumer (V~),die Verbraucher,Zahlreiche Verbraucher haben verschiedene Produkte beurteilt.
der Kanal,"canal, channel",die Kanäle,Wir haben eine Bootstour auf dem Kanal gemacht.
der Schlaf,sleep,no plural,Erwachsene brauchen ca. acht Stunden Schlaf pro Tag.
das Erlebnis,experience (Erl~),die Erlebnisse,Sein erster Zahnarzttermin blieb ihm ein unvergessliches Erlebnis.
die Bilanz,balance sheet,die Bilanzen,Alles in allem können wir eine positive Bilanz ziehen.
der Sender,"sender, broadcasting station",die Sender,Wir empfangen nur die öffentlich-rechtlichen Sender.
das Plus,plus,die Plus,Das Plus an dem Angebot ist der günstige Preis.
das Quartal,quarter of the year,die Quartale,Im dritten Quartal sind die Verluste besonders gestiegen.
der Rechner,"calculator, computer",die Rechner,Wer hat Zugang zu diesem Rechner?
der Kredit,credit,die Kredite,Die Bank hat dem jungen Ehepaar einen Kredit gewährt.
die Karriere,career,die Karrieren,Anne Will hat Karriere beim Fernsehen gemacht.
die Kamera,camera,die Kameras,Ich habe mir eine neue Kamera gekauft.
die Identität,identity,die Identitäten,Der Mörder besorgte sich eine falsche Identität.
das Rad,wheel,die Räder,Ein Auto hat vier Räder.
das Grundstück,plot of land,die Grundstücke,Familie Buchwald hat ein eigenes Grundstück mit Garten.
der Verlauf,course (V~),die Verläufe,Das Päckchen wird im Verlauf des Tages eintreffen.
das TV,TV,die TVs,"Wir haben keinen TV-Anschluss, weil wir sowieso nicht gern Fernsehen gucken."
der Bewohner,"inhabitant, occupant (B~)",die Bewohner,Die Bewohner dieses Hauses mussten alle umziehen.
die Erziehung,"upbringing, education",no plural,In seiner Jugend genoss er eine strenge Erziehung.
der Atem,breath,no plural,Odol macht frischen Atem.
die Auffassung,point of view (A~),die Auffassungen,"Ich bin der Auffassung, dass hier noch viel verbessert werden muss."
der Aktionär,shareholder (A~),die Aktionäre,Er ist ein einflussreicher Aktionär.
der Charakter,character,der Charaktere,Heike hat einen schwierigen Charakter.
die Geburt,birth,die Geburten,"Die Geburt ihres ersten Kindes verlief besser, als sie gedacht hatte."
das Einkommen,income,die Einkommen,Viele Menschen hier haben nur ein geringes Einkommen.
das Tal,valley,die Täler,Sie wandern durch Berg und Tal.
die Tiefe,depth,die Tiefen,Aus der Tiefe des Ozeans hörten sie ein seltsames Geräusch.
der Schnee,snow,no plural,Zu Weihnachten lag leider kein Schnee.
die Sitzung,"meeting, session (S~)",die Sitzungen,Falk nimmt an der Sitzung teil.
der Service,service (S~),die Services,Der Service im Hotel war sehr gut.
die Schülerin,schoolgirl,die Schülerinen,Sie ist Schülerin der 10. Klasse.
der Sturm,storm,die Stürme,Der Sturm war sehr stark.
die Halle,hall (H~),die Hallen,In welcher Halle findet die Messe statt?
die Reform,reform,die Reformen,Es wird eine Reform angestrebt.
die Herausforderung,challenge,die Herausforderungen,Ich stelle mich gerne neuen Herausforderungen.
die Niederlage,defeat,die Niederlagen,Hannibal erlitt eine eindeutige Niederlage.
der Schauspieler,actor (S~),die Schauspieler,Heinz Rühmann war ein deutscher Schauspieler.
der Mittag,"noon, midday",die Mittage,Ich kann erst Mittag kommen.
die Informationstechnologie,"information technology, IT",die Informationstechnologien,"Die neuen Informationstechnologien verändern die Art, wie Menschen arbeiten, leben und sich vergnügen."
die Norm,norm,die Normen,Abweichungen von der Norm gibt es immer wieder.
das Restaurant,restaurant,die Restaurants,Sie geht gern in chinesische Restaurants.
die Träne,tear,die Tränen,Kurt hatte Tränen in den Augen.
der Außenminister,foreign minister,die Außenminister,Der deutsche Außenminister ist auf dem Weg nach Kasachstan.
das Arzneimittel,medicine (A~),die Arzneimittel,Dieses Arzneimittel ist sehr teuer.
die Annahme,"acceptance, assumption (A~)",die Annahmen,Unsere Annahmen erwiesen sich als falsch.
die Zustimmung,approval (Z~),die Zustimmungen,Sie haben meine volle Zustimmung.
der Zufall,"chance, coincidence (Z~)",die Zufälle,"Was für ein Zufall, dass wir uns hier treffen!"
der Benutzer,user (B~),die Benutzer,"Die Benutzer dieser Software werden gebeten, sich zu registrieren."
die Trauer,grief (T~),no plural,Ullas Trauer war sehr groß.
der Vorstand,"board, chairperson (V~)",die Vorstände,Der Vorstand hat eine Entscheidung getroffen.
der Bescheid,"information, reply (B~)",die Bescheide,Ich habe den Bescheid noch nicht bekommen.
das Argument,argument,die Argumente,Das ist kein überzeugendes Argument.
der Angehörige,"member, relative",die Angehörigen,Die Angehörigen des Patienten müssen verständigt werden.
die Blume,flower,die Blumen,Die Dolmetscherin bekam einen Strauß Blumen.
die Fraktion,parliamentary party,die Fraktionen,Es gibt verschiedene Meinungen innerhalb der Fraktion.
das Grundgesetz,basic law,,Die Verfassung der Bundesrepublik heißt Grundgesetz.
die Bundeswehr,Armed Forces,no plural,Dirk ist Soldat in der Bundeswehr.
das Individuum,individual,das Individuen,Ein unbekanntes Individuum wurde gesichtet.
die Existenz,existence,die Existenzen,Die Existenz vieler Tierarten ist gefährdet.
der Händler,"trader, dealer, retailer",die Händle,Diese Lagerhalle ist an verschiedene Händler vermietet.
die Katastrophe,catastrophe,die Katastrophen,Eine Katastrophe ist geschehen.
die Disziplin,discipline,die Disziplinen,Disziplin ist im Sport sehr wichtig.
die Versorgung,"supply, care",die Versorgungen,Die WHO bemüht sich um die Versorgung der Menschen mit Lebensmitteln.
die Umsetzung,"transfer, implementation (U~)",die Umsetzungen,Wie soll die praktische Umsetzung aussehen?
der Papa,daddy,die Papas,Wo ist dein Papa?
der Sand,sand,die Sände,Wir liegen im Sand und sonnen uns.
die Opposition,opposition,die Oppositionen,Regierung und Opposition sind sich selten einig.
die Tendenz,trend (Te~),die Tendenzen,Es ist eine positive Tendenz zu verzeichnen.
der Musiker,musician,die Musiker,Herbert Grönemeyer ist ein bekannter deutscher Musiker.
das Motiv,motive,die Motive,Was für ein Motiv hatte der Täter?
der Verkäufer,salesman,die Verkäufer,Er ist von Beruf Verkäufer.
das Training,training,die Trainings,Wann findet das Training statt?
das Personal,staff,no plural,Ab nächsten Monat können wir neues Personal einstellen.
die Station,station,die Stationen,An der nächsten Station müssen wir aussteigen.
der Wandel,change (Wa~),no plural,Die Stadt macht einen Wandel durch.
das Ausmaß,"extent, size",die Ausmaße,Das Ausmaß der Katastrophe ist unvorstellbar.
die Angelegenheit,"matter, affair (A~)",die Angelegenheiten,Wir haben es mit einer komplizierten Angelegenheit zu tun.
die Auskunft,information (Aus~),die Auskünfte,Können Sie mir bitte eine Auskunft geben?
der Fleck,stain,"die Flecke, Flecken",Ich habe einen Fleck auf der Bluse.
das Wunder,"wonder, miracle",die Wunder,Ein Wunder ist geschehen.
die Begründung,"explanation, justification (B~)",die Begründungen,Edgar hatte eine zweifelhafte Begründung für sein Fehlen.
das Engagement,commitment (E~),die Engagements,Soziales Engagement ist gefragt.
die Entfernung,distance (E~),die Entfernungen,Das Flugzeug befindet sich noch in einiger Entfernung vom Landeflughafen.
der Koffer,suitcase,die Koffer,Mein Koffer ist verloren gegangen.
der Unternehmer,employer (U~),die Unternehmer,Siegbert ist ein erfolgreicher Unternehmer.
